date,division,cpi_index,yoy_inflation_pct
2023-11-01,Headline (Grand Total),129.5031682867408,2.6063048682176015
2023-12-01,Headline (Grand Total),129.67235286666957,2.6018833872101688
2024-01-01,Headline (Grand Total),129.70828378912393,2.7867752692037895
2024-02-01,Headline (Grand Total),130.36792441099686,3.4312323689714486
2024-03-01,Headline (Grand Total),131.03433848675428,3.284973793163526
2024-04-01,Headline (Grand Total),131.5305739605117,3.187852186042006
2024-05-01,Headline (Grand Total),131.727872827432,3.6179690372952322
2024-06-01,Headline (Grand Total),131.7719231399003,3.925824135183009
2024-07-01,Headline (Grand Total),131.77650511474374,3.956918657861186
2024-08-01,Headline (Grand Total),132.01611475809196,3.531608932686048
2024-09-01,Headline (Grand Total),132.34067265776707,3.0236053619644654
2024-10-01,Headline (Grand Total),133.00661181259343,2.944130557774649
2024-11-01,Headline (Grand Total),133.30927235509546,2.9390045963411104
2024-12-01,Headline (Grand Total),133.9121895074979,3.2696535129487447
2025-01-01,Headline (Grand Total),134.3264853148839,3.560452263224856
2025-02-01,Headline (Grand Total),135.18608983372744,3.6958212263477286
2025-03-01,Headline (Grand Total),135.43100670149892,3.35535575294188
2025-04-01,Headline (Grand Total),136.09237872036053,3.4682466764102804
2025-05-01,Headline (Grand Total),136.76633215998467,3.8248999428945663
2025-06-01,Headline (Grand Total),136.90001763705735,3.8916442706179666
2025-07-01,Headline (Grand Total),136.72506029812996,3.7552636405687734
2025-08-01,Headline (Grand Total),136.9713655376713,3.7535196280085836
2025-09-01,Headline (Grand Total),137.61044346324263,3.981973719525511
2025-10-01,Headline (Grand Total),137.58553042199196,3.4426248041339758
2025-11-01,Headline (Grand Total),137.46496842763605,3.117334600305277
2025-12-01,Headline (Grand Total),138.10933818139782,3.134254386651558
2026-01-01,Headline (Grand Total),138.57677305941496,3.164147215322166
2026-02-01,Headline (Grand Total),139.06047410492033,2.8659637067380173
2026-03-01,Headline (Grand Total),139.2342382072317,2.8082428081742217
2026-04-01,Headline (Grand Total),140.12864045761992,2.965824960377117
2026-05-01,Headline (Grand Total),141.09013761842616,3.161454570108413
2026-06-01,Headline (Grand Total),141.96890594098193,3.702620636151388
2026-07-01,Headline (Grand Total),142.2450069755143,4.03726037154275
2026-08-01,Headline (Grand Total),142.63845824429825,4.137428786214681
